Cluster 2.5,Depth,ID,Session,Orientation Index,Orientation Cicular Variance,Direction Index,Direction Cicular Variance,Orientation tuning fit_R2,Orientation tuning BandWidth,SimpleComplexIndex,Vis Responsive,umap_x,umap_y,cluster 1.0,depth_scaled
3,1036.531122,344,3,0.977730914,0.190051162,0.380975944,0.829896386,0.962949411,16.96019251,1.651295632,1,5.562413692,9.040961266,2,876.6071681
3,1069.569297,352,3,0.870217753,0.399853606,0.087914139,0.934116826,0.933158124,21.72572911,0.787412135,1,6.548424244,3.593169689,4,899.6439772
3,1095.020473,353,3,0.740741132,0.764786613,0.909209701,0.539453021,0.774237302,7.987414922,0.508222398,0,3.253552914,6.858050823,8,917.3905356
3,1124.629655,357,3,0.834585735,0.439933782,0.075248913,0.91335348,0.882989746,27.08895315,1.143875079,1,6.869013309,4.151918888,4,938.036382
2,1163.200618,359,3,0.937236926,0.342408317,0.265259261,0.941320008,0.914358335,17.11694353,0.462825637,1,9.209201813,3.305238962,3,964.9310856
1,1189.130654,361,3,0.357142051,0.855248221,0.443282934,0.890671282,0.969572163,8.705355646,0.156479822,0,8.73541069,8.289569855,2,983.0115426
0,1220.326573,363,3,0.615539846,0.656405045,0.088801765,0.975196794,0.951160524,15.09989211,0.865478488,1,-2.474833727,9.112106323,7,1004.763786
4,-794.9859141,371,3,0.984655613,0.183531107,0.289618595,0.839559256,0.975541652,11.81786205,0.68749217,1,-3.605550528,6.916961193,6,-741.3588743
4,-794.2691512,372,3,0.968939352,0.436850164,0.769257844,0.705004578,0.965266899,14.01090684,0.680174162,1,-3.90601778,7.553310394,6,-740.2091933
2,-585.1746225,376,3,0.737697652,0.537202505,0.471801898,0.901877294,0.966030401,10.30612596,0.415370938,0,9.378836632,2.731071234,3,-468.1882105
0,-551.0023407,377,3,0.191549674,0.92534352,0.29957878,0.910866079,0.624969561,9.630919034,0.673911552,1,-1.867429256,8.541931152,7,-440.7310005
2,-472.4921038,378,3,0.721839309,0.63304876,0.485605184,0.771949034,0.936471332,17.67903186,0.272663071,1,10.11543274,2.223825455,3,-377.648527
4,-408.051801,379,3,0.010374962,0.730902751,0.789118371,0.583978364,0.640814859,90,0.939050755,1,-2.202228546,4.81604147,6,-325.8711555
2,-347.9722849,380,3,0.454941805,0.716475027,0.924584016,0.929078066,0.774023249,23.22579467,0.738850682,1,10.69624519,5.787893772,2,-277.5976483
0,-326.3178383,381,3,0.227265185,0.889394432,0.789812483,0.733586988,0.502933903,4.822044729,0.354408035,1,-2.735144615,10.12116909,7,-260.198439
0,-290.6216547,382,3,0.613247483,0.675536805,0.416134683,0.846384869,0.49951391,11.3781775,0.342535688,1,-0.143398374,9.923348427,1,-231.5167836
0,-307.8754431,384,3,0.378236038,0.772734928,0.292624004,0.833838818,0.730652104,10.60576128,1.555176548,1,-2.061116934,8.705844879,7,-245.3800923
2,-248.7621712,386,3,1,0.255581274,0.641791199,0.824764193,0.922820982,10.40747116,0.463624866,1,11.52205181,2.770544767,3,-197.8829561
2,-176.7241908,388,3,0.505170024,0.552484358,0.436143152,0.889911105,0.991826307,20.63139821,0.656623879,1,9.772960663,2.817662716,3,-140.0008993
1,-66.05423101,389,3,0.89045834,0.24861394,0.04897714,0.944010332,0.956810736,13.46089142,1.53428766,1,7.540216923,7.840277195,2,-51.07829395
1,54.59879615,390,3,0.442090476,0.746225096,0.084218407,0.909683915,0.874546214,10.91917328,1.197330628,1,4.190031052,11.0922699,2,49.09360088
3,49.3827775,391,3,0.963851401,0.172930821,0.355744209,0.819283189,0.995356605,10.63351402,0.605875056,1,5.967659473,5.065427303,4,44.26755242
0,51.17815381,392,3,0.967731599,0.29561919,0.090204654,0.768468872,0.988551134,21.65557069,1.3546644,1,3.391593456,7.602736473,5,45.92869929
2,47.50889672,393,3,0.909895338,0.327695429,0.319222743,0.833608163,0.984878599,18.02499842,0.287109829,1,10.67323589,5.647856236,2,42.53377039
3,78.82072923,394,3,0.845150592,0.475369499,0.061447691,0.900481695,0.988081145,40.97473814,1.33662321,1,6.203623295,3.649283409,4,71.50460638
3,94.39218702,395,3,0.968204368,0.30642878,0.159496351,0.8737509,0.97247001,16.74174177,0.66008605,1,4.619082928,7.316558361,8,85.91188037
3,134.5578863,396,3,0.775608516,0.47112882,0.202935007,0.892206144,0.993366264,22.2099085,0.213447141,1,8.245541573,5.581130028,4,123.074633
3,174.8039797,397,3,0.498345579,0.690384435,0.00660698,0.962479119,0.959922451,23.10742246,1.042939542,1,8.928442001,4.756548882,4,160.3117693
2,198.3285238,398,3,0.97585955,0.094607444,0.426964908,0.610939222,0.99774919,8.34627218,0.065874518,0,12.08419895,2.408088684,3,182.0775253
1,196.1535776,399,3,1,0.060664555,0.073691518,0.954381717,0.999534482,10.53397413,1.335948355,1,4.679698467,10.38683605,2,180.0651867
4,240.8036793,400,3,0.821990512,0.463420713,0.239432645,0.918786123,0.974718635,18.19118898,0.811762217,1,-2.94996047,6.067612171,6,221.3770701
4,226.5755696,401,3,0.882327535,0.430554627,0.221859744,0.899845387,0.973525824,16.08424808,1.075687682,1,-2.902782679,6.01089716,6,208.2127101
1,261.7257235,403,3,0.90884699,0.505539991,0.352603458,0.983360285,0.897873264,15.70833235,0.454229102,1,4.418010235,9.484627724,2,240.7348994
1,284.8527407,404,3,1,0.120629313,0.173910586,0.881636902,0.998365146,12.8378625,0.957188552,1,3.906901836,10.40041161,2,262.1328493
0,323.0185871,406,3,0.545074542,0.555142504,0.239731511,0.815405217,0.941057772,14.83736582,1.232621662,1,-1.940341115,9.688030243,7,292.868475
1,376.0600983,408,3,0.572976457,0.650330867,0.043463648,0.846451143,0.906970214,28.21417845,1.823468879,1,4.792331696,10.45456791,2,346.9564798
4,515.05354,409,3,0.87123529,0.463926307,0.665661478,0.647183918,0.942425479,10.57723094,1.037578477,1,-3.580631018,8.91423893,6,488.6922218
0,574.2230141,410,3,0.777630939,0.515233454,0.251012224,0.926986296,0.962800221,8.940729241,0.549993195,1,-0.123961844,11.56065941,1,549.0290925
1,566.2704335,411,3,0.709994318,0.515753055,0.977812971,0.401762682,0.968002681,16.68101095,0.612916825,1,5.307336807,9.974480629,2,540.9196098
3,590.5527715,412,3,0.319911219,0.791793926,0.095689951,0.934005544,0.641685333,8.86474346,0.620690751,1,8.659518242,4.260401249,4,565.6810313
1,642.9357473,413,3,0.65418677,0.59710904,0.215233208,0.971397149,0.716760157,6.96703988,0.457357817,1,8.772533417,7.571460724,2,602.1615705
3,743.2941917,415,3,0.881590454,0.346848981,0.320325138,0.847774113,0.90313387,19.97710134,1.273019806,1,4.955226898,4.323331833,4,672.1393573
3,743.5739948,417,3,0.799864183,0.44193449,0.436831986,0.567332003,0.917515117,26.83595477,1.406779419,1,5.654690742,3.568013906,4,672.334458
1,744.0837745,418,3,0.495095233,0.593675286,0.787101347,0.816724213,0.673913852,6.870180201,1.037583737,1,7.303642273,9.288166046,2,672.6899164
1,754.4246594,419,3,0.402168119,0.819469189,0.38237124,0.807228855,0.579512224,14.0010517,0.279666034,1,4.128109455,7.835052967,2,679.9003933
3,793.6130677,420,3,0.616037334,0.670572591,0.220099237,0.878820417,0.666426006,33.64049403,0.720276498,1,4.672742367,6.498264313,8,707.2256283
0,855.6588142,422,3,0.90308985,0.304184861,0.031937392,0.982125074,0.93812111,17.21713846,0.325066532,1,0.426611722,11.23685169,1,750.4887942
2,1156.165532,425,3,0.466576595,0.654616972,0.225814012,0.925105853,0.748291767,9.41334047,0.789188388,1,11.73867512,4.132916451,3,960.0256714
0,-317.8692619,430,3,0.884009453,0.402776334,0.213241263,0.800843758,0.979369742,23.94051469,1.215312164,1,-1.14159286,9.041179657,7,-253.4100618
3,-297.9820288,432,3,0.969821975,0.08546122,0.960045748,0.081808512,0.997883891,10.38956046,1.534442179,1,8.205042839,5.823027611,4,-237.4307971
0,44.12175285,434,3,0.961639756,0.290421194,0.212998073,0.798985503,0.991343158,17.28900206,0.586951983,1,3.462142229,7.479519844,5,39.3998628
1,201.5213566,435,3,0.873240902,0.454260831,0.095534048,0.965778946,0.957496935,12.39095455,0.175810344,1,5.993509769,8.82283783,8,185.0316493
3,555.6674327,436,3,0.994818447,0.125910223,0.649044219,0.626330345,0.994154546,12.01371293,0.191169125,1,6.690145969,6.4767766,8,530.1074149
1,596.7664411,437,3,0.847958212,0.33758958,0.496389578,0.686307224,0.97522458,10.3655824,0.249678682,1,5.800523758,10.45805454,2,572.0172949
3,797.3438738,439,3,0.550831572,0.570780608,0.524958908,0.683018048,0.921911069,8.93010474,0.159714489,1,3.84222579,7.025413513,8,709.8270393
1,-409.3399582,441,3,0.608029351,0.55329584,0.461666096,0.681526801,0.764909626,14.3038803,0.140886277,1,5.536105633,10.05340195,2,-326.9061816
3,692.8565998,3,4,0.483576547,0.702052432,0.102704651,0.972261147,0.984561296,17.34032207,0.129268387,1,5.293232441,6.454633713,8,902.7031326
3,692.8973621,12,4,0.71536719,0.542680248,0.306103211,0.851861998,0.858044919,11.50556722,0.55769125,1,8.0993433,4.385536671,4,903.8363144
3,655.0494007,18,4,0.767098141,0.505127753,0.472191564,0.687838467,0.919404001,16.41757714,0.874098782,1,5.92675972,3.49472785,4,577.523008
3,629.2721567,23,4,0.905969673,0.416192944,0.622287636,0.60146139,0.989601518,21.80893003,0.834787921,1,8.26471138,4.216999531,4,554.452578
0,617.5673781,31,4,0.540396531,0.669143006,0.170336683,0.952728438,0.865454629,90,0.852607605,1,-1.211750031,9.377031326,7,543.9768935
3,588.6126498,34,4,0.860774093,0.45956557,0.403717832,0.889919434,0.855702879,26.77970056,0.366306925,1,7.869329453,5.190781593,4,518.0626402
1,554.3349448,40,4,0.881859474,0.353257296,0.013486679,0.952151645,0.977649807,18.54068897,0.593327499,1,7.64836359,8.720347404,2,487.3843647
3,552.1813074,41,4,0.897988292,0.337438873,0.077247354,0.948332169,0.991459485,16.61547752,0.764479196,1,7.586782932,6.657408714,8,485.4568762
1,543.53273,47,4,0.812824063,0.634668151,0.169042634,0.939885078,0.884868191,15.36350861,1.153098624,1,8.729054451,6.835000515,2,477.7164677
1,521.1980385,50,4,0.562650342,0.704519661,0.108371241,0.903263469,0.918955082,90,0.927149752,1,8.884449959,7.125813961,2,457.727095
1,533.7249372,51,4,0.873890534,0.352731127,0.098085586,0.94302399,0.983083408,15.32112283,0.419705079,1,5.51347065,9.779706001,2,468.9385706
3,530,52,4,0.970650147,0.269750444,0.026158725,0.899429751,0.996363443,13.38433242,0.797073282,1,6.380120754,4.902187824,4,465.6047811
3,482.6735753,62,4,0.319109577,0.82847721,0.35174883,0.900437631,0.800540865,14.48531015,0.163071269,1,4.088590622,6.367287636,8,423.2480044
0,477.0530968,65,4,0.77627939,0.433234935,0.526038048,0.605751549,0.994613874,14.14293508,0.718426137,1,-1.051343083,10.54546356,0,418.2177205
3,475.0239637,67,4,0.52140915,0.741932978,0.350129671,0.825447772,0.86629305,24.10430147,1.310304547,1,7.48897171,3.511482954,4,416.4016624
2,469.5868643,68,4,0.533044703,0.67678453,0.387976766,0.820482804,0.923061641,8.694391858,0.487993258,1,10.19455147,3.177892685,3,411.5355014
0,431.5121145,73,4,0.897974362,0.279456625,0.872663114,0.747476629,0.98344626,12.93289688,0.460160779,1,1.682792068,7.750391483,5,377.4589008
0,417.0034358,75,4,0.97536186,0.380410832,0.958842145,0.615459332,0.999601237,10.99123204,0.454072535,1,-2.012794256,10.76529884,7,364.4737478
0,418.4064009,76,4,0.964202126,0.284374969,0.785632115,0.644155504,0.989813738,8.250219836,0.240276078,1,-1.783555627,10.73870373,7,365.7293905
3,429.003152,80,4,0.361337754,0.718803243,0.930337074,0.350961548,0.844628589,24.21308202,0.474436769,1,4.74198246,6.19066,8,375.2133991
0,393.0433628,84,4,0.955926759,0.283495332,0.924279103,0.384437085,0.994027109,11.05146494,0.393648967,1,-1.777940392,10.63599586,7,343.0296715
0,400.4046823,86,4,0.885447464,0.418685361,0.967661366,0.646484857,0.986600965,11.01509888,0.101035918,1,3.228069067,7.831292629,5,349.6179944
0,310.8955696,106,4,0.593966978,0.599123942,0.70395315,0.603161178,0.983531007,13.24085782,1.352953917,1,2.732023478,11.59298229,0,271.2692925
0,305.2679449,108,4,0.978887157,0.303290295,0.967857245,0.168165556,0.950221275,23.86820405,1.423621006,1,1.923792362,12.42810726,0,266.1752355
4,301.3862801,116,4,0.172366642,0.909401646,0.08616429,0.960666711,0.828833278,90,0.89454449,1,-2.947749138,6.12561512,6,262.6616
4,265.1797425,120,4,0.024149024,0.964753122,0.121014031,0.945331967,0.634632038,90,0.598088907,1,-3.093093395,6.04743433,6,229.8878853
4,243.0730444,124,4,0.290131316,0.856614446,0.272476828,0.897993817,0.894235311,12.88470999,0.277180621,1,-0.402805179,7.127958775,6,209.8771727
4,280.4390851,125,4,0.311940675,0.883420119,0.117849657,0.917821872,0.498888416,13.79461083,1.407631314,1,-3.1691854,6.361211777,6,243.7004555
4,265.1473454,126,4,0.982343333,0.128668724,0.88906218,0.291172851,0.99887234,7.455258879,0.253136729,0,-3.719171047,8.427257538,6,229.8585599
1,258.4858947,127,4,0.638933073,0.525694121,0.748314547,0.404652499,0.953484735,14.81549379,1.340836507,1,4.129227161,10.41967773,2,223.8286962
4,249.8298319,132,4,0.999534677,0.346574461,0.274023856,0.785155997,0.779770378,90,0.836116684,1,-3.73515439,7.724776268,6,215.993334
4,246.2424475,133,4,0.948109482,0.287186447,0.156405848,0.898839454,0.996051383,18.27309601,0.966257689,1,-2.491358757,5.28129673,6,212.7460776
4,250.3166213,135,4,0.33751216,0.802485922,0.130479099,0.95084441,0.898896866,29.99068538,1.720135511,1,-2.24990654,4.922222614,6,216.4339699
1,188.5504907,143,4,0.995867475,0.290409882,0.003607516,0.975845387,0.989774201,19.50999401,0.498671868,1,7.782247543,8.914089203,2,160.5240244
0,190,146,4,0.720929258,0.63199922,0.338582719,0.83646197,0.919641243,90,0.827149223,1,-2.3601408,9.440052032,7,161.8361024
0,196.7016195,147,4,0.823954757,0.435965525,0.088619954,0.98357505,0.965459583,19.54240495,0.24422836,1,2.873063087,9.01736927,5,167.9023264
0,193.8164077,148,4,0.663414438,0.493824361,0.167714206,0.983139773,0.96666445,12.28347468,0.624007441,1,-2.634535551,9.67412281,7,165.290668
0,180.6437612,149,4,0.982887806,0.135166564,0.115365099,0.934136589,0.990462262,12.61375281,1.532560772,1,-2.878205776,11.00154495,7,153.3669496
0,168.9847536,151,4,0.994826685,0.169686078,0.08079534,0.924444678,0.998569358,16.21702384,1.269511449,1,-2.434941769,11.10852909,7,142.8133586
0,170.6859059,152,4,0.993625894,0.229307647,0.116805884,0.966916242,0.967510149,15.73502363,0.661813927,1,-0.806252182,10.17721844,7,144.3532208
2,155.0837571,158,4,0.712986831,0.590929561,0.035284637,0.926002153,0.993810737,32.24492773,1.536828449,1,11.05930042,5.447961807,2,130.2303467
4,154.2918227,160,4,0.700781139,0.641766202,0.432725364,0.802793304,0.959734362,14.0251391,0.501050911,1,-1.731832743,5.270074844,6,129.5134973
0,139.5945371,165,4,0.842583588,0.40327751,0.887818058,0.444133318,0.969571326,7.575644943,0.406199498,1,4.603469849,8.167512894,8,116.2096943
1,128.7011521,171,4,0.994621134,0.2206981,0.005811261,0.967172513,0.991829774,19.03234192,0.68660401,1,5.230934143,8.661063194,8,106.3491354
1,90.97630161,178,4,0.771623259,0.514658533,0.003255738,0.99133619,0.991652978,22.74485891,0.388387062,1,6.946944714,9.073147774,2,72.20106248
3,104.2458214,179,4,0.998404791,0.239213613,0.075362034,0.917456091,0.988141212,19.16785701,0.759083032,1,7.465554237,4.665969372,4,84.2124694
0,111.839352,181,4,1,0.269912376,0.338832171,0.849691284,0.992245464,15.21458693,1.325015444,1,2.419178963,9.082122803,5,91.08604038
1,112.7910261,182,4,0.985923882,0.272504903,0.163932879,0.938147617,0.984586361,16.37123553,0.696650858,1,5.096897602,9.63692379,2,91.94748417
4,94.54766697,193,4,0.465049133,0.746791026,0.015801453,0.97960482,0.987811273,25.5192864,1.328710181,1,-2.545996904,6.876262665,6,75.4338187
0,56.46745105,194,4,0.965159159,0.307191325,0.003188654,0.983555854,0.982712003,26.12950068,0.270183291,1,-0.436917037,7.863244057,1,40.96407326
3,72.47339422,195,4,0.958833261,0.296929627,0.061803265,0.941645239,0.990142912,19.18348681,0.97685652,1,7.553464413,5.196261883,4,55.45245715
3,49.36041824,197,4,0.891194776,0.374680187,0.073404776,0.977705997,0.9979147,20.23566919,0.951201631,1,8.779171944,4.404654026,4,34.53087414
4,89.13000574,199,4,0.592907713,0.672761939,0.056691032,0.959480804,0.975311703,23.46481473,1.138485806,1,-2.197788477,5.239786625,6,70.52981805
3,42.34038558,200,4,0.972187947,0.275719254,0.150945057,0.95935355,0.977207937,20.1183939,0.245199891,1,5.305070877,5.239174366,4,28.17642648
3,49.30720708,201,4,0.539630729,0.71257336,0.168663544,0.89528019,0.942263924,90,0.732284131,1,7.590777397,6.748357296,8,34.48270805
0,51.86530009,202,4,0.925840253,0.369732663,0.031576515,0.995946262,0.986134571,22.04693425,0.610466329,1,3.605357647,11.99530029,0,36.79826254
